Message ID,Subject,Message,Spam/Ham,Date
3820,,"discount meds right from home
valium , xanax , weight - reduction and more
next day delivery
us licensed physicians ~ no office visits
private ~ confidential ~ discreet
http : / / www . legend 24565 drugs . biz / a 70
100 % from the usa only
not interested , thanks http : / / www . legend 24565 drugs . biz / unsubscribe . ddd
 sundew dimension clint amend churchyard concordant sprig biblical bronco postwar medicine coin smithereens commissary denumerable acrylate torrent aniseikonic alabaster bimodal fructify protophyta gloat archibald faunaphdpowers
 dragoon giovanni suntanned bakelite sacrificial wharves sociometry stolid butyl termite goa creosote moll splendid alcestis sent onlooking wellesley multipliable britannicadodresponsive
",spam,2004-02-25
3504,neon,- bammel neon groups - fall 2001 . doc,ham,2001-09-24
30823,download great shots of entertainment people,"yo buddy ,
caught in action - obscene footage of denise richards more info here : http : / / celebrityfuckfest . biz / girls . asp ? denise 30 . jpg
and lots more like :
grouesome pictures of halle barry
revealing pictures of elizabeth hurley
steaming paparazzi shots of cindy crawford
to remove : http : / / www . medzstoreonline . com / rms . html
your account is terminated
constance brady
electricalengineer
biospectra , inc . , stroudsburg , pa 18360 , united states of america
phone : 376 - 136 - 8446
mobile : 411 - 127 - 8448
email : yqlnupebfupfq @ wprost . pl
this is an auto - generated message - please do not reply to this message
this freeware is a 49 second complementary download
notes :
the contents of this message is for usage and should not be sapiens celebrate
indiana celesta wishbone
time : fri , 17 dec 2004 00 : 20 : 10 - 0500",spam,2004-12-17
22501,hi again,"don ' t protect part reach . noon sleep tail many silent . observe
an that capital have come . have on carry . job , check dry lay .
tube if saw science cost . read off door press word . whole gave
several number please . wave watch miss push late record .
- -
phone : 746 - 690 - 1459
mobile : 157 - 277 - 5828
email : homedmalayizes @ metropolis - inter . com
",spam,2005-08-31
29593,congratulations ! ? ? ?,"from the desk of the vice president
luckyday e - mail lottery international program
international promotions / prize award dept .
www . luckyday . nl
bacth no : pdowo / 1053 / 9018 / 6754
ref . no : pdowo / 1073 / 9018 / 8176
winning notification / final notice
this is to inform you of the release of the e - mail lottery ballot international / world gaming board held on the 26 th of july 2004 . due to the mix up of number , the results were released on the 29 th of august 2004 .
your email address attached to ticket no : 516179282 with serial no : 8535390782 the lucky no : 01989374546 which consequently won the lottery in the lst category .
you have therefore been approved for a lump sum payout of
uds $ 1 , 800 , 000 : 00 only ( one million eight hundred thousand united states dollars only ) in cash which is deposited with a finance & security company in your favour as beneficiary and covered with high insurance policy
due to mix up of some numbers and names , we ask that you keep your winning information confidential until your claims has been processed and your money remitted to you . this is part of our security protocol to avoid double claiming and unwarranted abuse of this program by some participants .
all participants were selected through a computer ballot system drawn from only
microsoft users from over 20 , 000 company , and 3 , 000 , 000 individual email addresses and names from all over the world .
to begin your lottery claim , please contact the appionted agent below that have been appointed for the processing of your claim with your full name , home address , home and office contact telephone and fax number to begin the processing of your claim
mr . felix ross
all line internation agency
claim department
e - mail : alllinesec 2 @ netscape . net
note that all winning must be claimed not later than 16 th of september 2004 . after this date all unclaimed , funds will be included in the next stake . please note in order to avoid unnecessary delays and complications please remember to quote your reference number and batch numbers in all correspondence .
furthermore , should there be any change of address do inform our agent as soon as possible .
congratulations once more from our members of staff and thank you for being part of our promotional program .
note : anybody under the age of 18 is automatically disqualified .
yours sincerely ,
tina van jesse
lottery coordinator",spam,2004-09-07
15736,top - quality prescripiton medications,"tradition segregate diplomacy
are you looking for medicine ? obtain it now !
a whole range of tablets ! take a look !
you name it ! we have it !
stop receiving promotional material now
employing koch marksmen friable
",spam,2005-01-19
32176,investsource research alerts for maximum capita | gains,"now that oil and gas has entered a | ong - term bull market ,
our speciaity in pinpointing the hottest companies of the few remaining
undervalued energy plays has produced soaring returns .
montana oi | and gas , inc . ( mogi ) to explore further opportunities in alberta canada , a is an energy developer in canada ' s most highly coveted reservoirs with generating potential of miliions per week
symbol - mogi
price - . 48
increased 11 % last three day ,
rating - strongbuy
how much it wiil up again ?
the value of mogi ' s shares wil | skyrocket :
1 . price charts confirm oi | prices are experiencing the strongest bu | |
market in a generation .
2 . natural gas prices have tripied in the last two years .
3 . with muitiple projects in high - gear and the expanding production on
reserves worth multi - miilions , mogi is se | | ing for | ess than 1 / 4 the
value of its assets .
4 . montana oil and gas specializes in using new technology to turn
unproductive oil and gas deposits into profitable enterprises .
already shares in the oi | and gas sector are rising faster than the
overa | | market . in fact , four of dow jones ' ten top performing industry
sectors for the past year are energy related . but it ' s in the mid - sized
explorers and developers like montana oi | ( mogi ) that the biggest gains are being made . in the | ast 12 months , many of these stocks made triple and even quadruple returns .
vancouver , march 11 , 2005 - ( mogi ) president peter sanders wouid | ike to announce that a decision has been made to expiore further opportunities in the aiberta canada region where the company currentiy has interests in three projects . the company has become aware of existing opportunities to partner in , or acquire | eases , which may include producing welis and or exploratory programs which will strengthen montana  s position with energy , cash oriented investment banking groups .
one of the most effective ways to acquire financial partners for dri | | ing programs involves existing production of oil and or gas in these programs . this wil | significantly | essens the risk for the investment group , hence encouraging financial participation as we | | as speeding up the process of commitment by the investment group .
the sylvan | ake project will begin very shortly the company and its partners have secured a drilling rig and are only waiting for a temporary road ban to be lifted . the rig is currentiy sitting in red deer aiberta a mere 3 o miies from syivan lake . the initia | wel | is a 7 , 200 - foot peskisko sand test that is prospective for oi | and gas . it is expected to take approximateiy lo to 12 days to drill and test the initial well . each development we | | has probable production of 15 o barrels of oi | per day and 750 miilion cubic feet gas per day with reserves in excess of 1 bi | | ion cubic feet gas and 30 o , 0 oo barreis of oil . there are four other pay zones that are prospective for gas . the average wel | in the sylvan lake fieid has produced 5 oo barrels of oil per day with over one miliion cubic feet of gas per day . if successful , the company intends to drill up to 4 more wells on these land sections . for more detaiied information on this project please see news release dated feb . 7 th , 2 oo 5 . an announcement wiil be made immediately upon the commencement of drilling .
the company is aiso pieased to report that the tie in of its west lock project did start several days ago and it is anticitaped that this wi | | be complete some time in the next coupie of days . peter sanders notes  the completion and tie in of the west lock project has ran into numerous delays , however , this we | | wi | | be tied in and the company wil | be se | | ing gas by next week thus generating cash fiow for the company  the company wil | update its shareholders when it has heard from its partner in regards to compietion .
will mogi explode higher as more and more investors become aware of the
stock ? if you think so , you may not want to wait until it is too | ate .
remember , timing your trade is critica | .
good luck and successfu | trading .
information within this pubiication contains future looking statements
within the meaning of section 27 a of the securities act of 1933 and
section 21 b of the securities exchange act of 1934 . any statements thatexpress or involve discussions with respect to predictions ,
expectations , beiiefs , plans , projections , objectives , goais , assumptions or futureevents or performance are not statements of historical fact and may be future | ooking statements . future looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presentiy anticipated . future | ooking statements in this action may be identified through the use of words such as projects , foresee , expects , will , anticipates , estimates , beiieves , understands or that by statements indicating certain actions may , couid , or might occur . these future - | ooking statements are based on information currently available and are subject to a number of risks , uncertainties and other factors that couid cause mogi  s actua | results , performance , prospects or opportunities to differ materia | | y from those expressed in , or impiied by , these future - looking statements . as with many microcap stocks , today ' s company has additiona | risk
factors that raise doubt about its abiiity to continue as a going
concern . these risks , uncertainties and other factors inciude , without
limitation , the company ' s growth expectations and ongoing funding
requirements , and specificaily , the company ' s growth prospects with
scaiabie customers . other risks inciude the company ' s limited operating history , the company ' s history of operating | osses , consumers ' acceptance , the company ' s use of | icensed technologies , risk of increased competition , the potential need for additional financing , the conditions and terms of any financing that is consummated , the limited trading market for the company ' s securities , the possible volatiiity of the company ' s stock price , the concentration of ownership , and the potentia | fiuctuation in the company ' s operating resuits . the pubiisher of this report does not represent that the information contained in this message states ail materia | facts or does not omit a materia | fact necessary to make the statements therein not misleading . ail information provided within this report pertaining to investing , stocks , securities must be understood as information provided and not investment advice . the pubiisher of this newsietter advises ail readers and subscribers to seek advice from a registered professiona | securities representative before deciding to trade in stocks featured within this report . none of the materia | within this report sha | | be construed as any kind of investment advice or soiicitation . many of these companies are on the verge of bankruptcy . you can lose all your money by investing in this stock . the publisher of this report is not a registered investment expert . subscribers should not view information herein as | ega | , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially selected to be referenced based on the favorabie performance of these companies . you would need perfect timing to achieve the resuits in the examples given . there can be no assurance of that happening . remember , as aiways , past performance is not indicative of future results and a thorough due diiigence effort , including a review of a company ' s filings at sec gov or edgar - oniine com when available , shouid be completed prior to investing .
ail factual information in this report was gathered from pubiic sources , including but not limited to company websites and company press
reieases . the publisher discloses the receipt of fifteen thousand
doliars from a third party , not an officer , director , or affiliate shareholder ofthe company for the preparation of this oniine report . be aware of aninherent conflict of interest resuiting from such compensation due to the fact that this is a paid pubiication . the publisher of this report believes this information to be reiiable but can make no assurance as to its accuracy or completeness . use of the material within this report constitutes your acceptance of these terms .
if you wish to stop future maiiings , or if you feel you have been
wrongfully placed in our membership , piease go here or send a biank
e mai | with no thanks in the subject to
( - stock 21 @ yahoo . com - )",spam,2005-03-15
2318,tenaska iv 11 / 00,"all of the outside sales for 11 / 00 have been paid . we now need to forward
the cash to tenaska iv . the demand charge for deal 529856 should be
$ 341 , 250 . 47 . i have attached my spreadsheet . the number is based on noms ,
so when we receive the actuals i will send you a revised number .
megan",ham,2001-01-02
20780,why does your wife ppay for v . 1 . c . 0 . d . 1 . n,never agaln,spam,2004-12-23
31044,do you like computers,"pay les for mlcrosoft off ! ce software
we have everything !
microsoft office x . p pro 2 oo 2 . . . . . . . . . . . . . . . . . 6 o do / / ars
w ! ndows x , p pro 2 oo 2 . . . . . . . . . . . . . . 50 do / / ars
more information
we also have :
adobe photosh 0 p 7 . o . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6 o do / / ars
corel draw graphics suite 11 . . . . . . . . . . . . . . . . . 60 do / / ars
the offer is valid till january 22 th
stock is limited
meet you soon
janine siegel
firefighter
biochimmash , moscow , 127299 , russia
phone : 351 - 844 - 2167
mobile : 311 - 491 - 4617
email : wgbrfalfxwsa @ garlic . com
this message is beng sent to confirm your account . please do not reply directly to this message
this version is a 99 day usage package
notes :
the contents of this info is for information and should not be task mynah
gresham talk octant
time : fri , 31 dec 2004 10 : 30 : 51 - 0500",spam,2004-12-31
